Ion Type,Structure Group,Activation Energy Ea (eV),Conductivity σ (S/cm),Superionic Conductor Formula (Chemical)
Na+,Amorphous,0.33,0.0003,0.1NaBr·0.9Na₃SbS₄
Li+,Halide,0.22,0.00014,Li₃YCl₆
Li+,Halide,0.3,0.00142,Li₃Y₀.₅In₀.₅Cl₆
Li+,Halide,0.29,0.001,Li₃InCl₆
Li+,Other,0.29,0.0067,0.7Li(CB₉H₁₀)–0.3Li(CB₁₁H₁₂)
Na+,Amorphous,0.47,6e-06,Na₃PS₄ glass
Na+,Amorphous,0.27,0.0002,Na₃PS₄ glass-ceramic (cubic)
Li+,Halide,0.25,0.0036,3LiCl–GaF₃ (glass)
Li+,Halide,0.28,0.0018,3LiBr–GaF₃ (glass)
Li+,Halide,0.25,0.0036,3LiCl–GaF₃ + Li₂CO₃-B coating (as catholyte)
